_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
1274480,4156313,2017,,1965,TCHC,20,Scarborough Southwest,3181 EGLINTON AVE E,7,103,2022-06-29,53,Evaluation needs to be conducted in 1 year,19,2,3,2,2,3,3,2,2,3,,2,3,2,3,3,3,2,3,3,4,E2027,43.74262937,-79.21965253,327364.758,4844556.449
1274481,4153980,2017,,1959,PRIVATE,8,Eglinton-Lawrence,665 ROSELAWN AVE,5,87,2022-06-22,80,Evaluation needs to be conducted in 2 years,19,4,4,3,3,4,4,5,4,5,4,4,4,5,3,5,4,4,3,4,,N0833,43.70517802,-79.42510828,310820.12,4840361.543
1274482,4155584,2017,,1970,TCHC,22,Scarborough-Agincourt,365 BAY MILLS BLVD,13,186,2022-06-13,93,Evaluation needs to be conducted in 3 years,19,5,5,5,5,5,5,4,4,5,,3,5,5,4,4,5,5,4,5,5,E2226,43.78124037,-79.30084246,320815.234,4848827.17
1274483,4155686,2017,,2003,SOCIAL HOUSING,8,Eglinton-Lawrence,651 LAWRENCE AVE W,3,24,2022-06-13,85,Evaluation needs to be conducted in 2 years,15,4,4,5,3,,4,,3,,,5,4,5,5,4,4,,5,5,4,N0827,43.71610362,-79.44290139,309385.499,4841573.16
1274484,4848750,2021,,1954,PRIVATE,19,Beaches-East York,996 O'CONNOR DR,3,18,2022-06-10,65,Evaluation needs to be conducted in 1 year,15,3,3,4,3,2,4,,3,,,3,4,5,3,3,3,,3,3,,S1921,43.7091752,-79.31057239,320050.275,4840819.291
1274485,4155591,2017,,1968,TCHC,9,Davenport,61 PELHAM PARK GDNS,17,352,2022-06-10,65,Evaluation needs to be conducted in 1 year,20,3,4,5,2,3,5,3,4,3,3,2,3,3,3,3,3,4,3,3,3,S0926,43.66925972,-79.45779566,308187.607,4836369.289
1274486,4155743,2017,,1954,PRIVATE,20,Scarborough Southwest,3015 D QUEEN ST E,4,16,2022-05-31,81,Evaluation needs to be conducted in 2 years,16,4,4,4,4,4,4,,4,,4,4,4,5,4,4,4,,4,4,,E2033,43.67470551,-79.27738934,322734.656,4836996.394
1274487,4153409,2017,,1970,PRIVATE,10,Spadina-Fort York,164 GRANGE AVE,3,24,2022-05-28,59,Evaluation needs to be conducted in 1 year,15,2,3,4,2,2,3,,4,,,3,3,5,2,3,3,3,2,,,S1023,43.65137835,-79.40116552,312757.065,4834385.593
1274488,4156031,2017,,1965,PRIVATE,19,Beaches-East York,165 BARRINGTON AVE,19,265,2022-05-27,76,Evaluation needs to be conducted in 2 years,19,4,5,3,5,3,5,4,4,4,4,3,3,3,4,3,4,5,4,2,,S1930,,,320678.849,4839169.774
1274489,4153604,2017,,1929,PRIVATE,14,Toronto-Danforth,569 BROADVIEW AVE,4,48,2022-05-27,83,Evaluation needs to be conducted in 2 years,15,4,4,5,4,4,4,,5,,4,4,4,5,3,4,4,,4,,,S1428,43.67247181,-79.35505603,316472.52,4836734.465
